FICE (Federal ID number),College name,State (postal code),School Type,Average Math SAT score,Average Verbal SAT score,Average Combined SAT score,Average ACT score,First quartile - Math SAT,Third quartile - Math SAT,First quartile - Verbal SAT,Third quartile - Verbal SAT,First quartile - ACT,Third quartile - ACT,Number of applications received,Number of applicants accepted,Number of new students enrolled,Pct. new students from top 10% of H.S. class,Pct. new students from top 25% of H.S. class,Number of fulltime undergraduates,Number of parttime undergraduates,In-state tuition,Out-of-state tuition,Room and board costs,Room costs,Board costs,Additional fees,Estimated book costs,Estimated personal spending,Pct. of faculty with Ph.D.'s,Pct. of faculty with terminal degree,Student/faculty ratio,Pct.alumni who donate,Instructional expenditure per student,Graduation rate,Private,Public
1033,Oakwood College,AL,Private,382.0,378.0,760.0,17.0,336.2537637435972,427.7462362564028,338.67772052771244,417.32227947228756,15.259858154496555,18.740141845503445,949.0,605.0,385.0,25.67197750702905,52.35,1316.0,135.0,6639.0,6639.0,3999.0,2514.6819571865444,2060.983830845771,368.0,600.0,2500.0,52.0,52.0,14.5,12.0,7986.0,60.40531561461794,1,0
1036,Samford University,AL,Private,535.0,495.0,1030.0,25.0,485.0,585.0,445.0,545.0,22.0,28.0,1680.0,1395.0,691.0,34.0,76.0,2959.0,402.0,8236.0,8236.0,3700.0,3700.0,2060.983830845771,392.0126459143969,569.0,1650.0,74.0,75.0,14.7,17.0,9533.0,61.0,1,0
1041,Spring Hill College,AL,Private,525.0,480.0,990.0,24.0,480.0,550.0,430.0,520.0,22.0,26.0,773.0,694.0,230.0,25.67197750702905,52.35,942.0,224.0,11478.0,11478.0,4788.0,2450.0,2338.0,645.0,500.0,900.0,80.0,89.0,14.4,23.0,8594.0,70.0,1,0
1044,Stillman College,AL,Private,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,629.0,614.0,248.0,25.67197750702905,52.35,866.0,22.0,4460.0,4460.0,2754.0,1683.0,1071.0,100.0,600.0,1000.0,47.0,47.0,14.3,20.91296296296296,5031.0,47.0,1,0
1046,Talladega College,AL,Private,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,4414.0,1500.0,335.0,30.0,60.0,908.0,119.0,5666.0,5666.0,2964.0,1424.0,1540.0,418.0,1000.0,1400.0,56.0,58.0,15.5,7.0,5970.0,46.0,1,0
1047,Troy State University at Troy,AL,Public,510.0,470.0,980.0,20.0,350.0,480.0,380.0,550.0,18.0,24.0,1471.0,1281.0,824.0,18.0,67.0,4343.0,990.0,1697.0,2883.0,2570.0,1450.0,1120.0,75.0,300.0,1389.2917038358607,50.0,50.0,23.0,20.91296296296296,4295.0,48.0,0,1
1050,Tuskegee University,AL,Private,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,2267.0,1827.0,611.0,20.0,59.0,2825.0,144.0,6735.0,6735.0,3395.0,3395.0,2060.983830845771,392.0126459143969,600.0,1425.0,70.0,74.0,12.2,7.0,10872.0,65.0,1,0
1051,University of Alabama at Tuscaloosa,AL,Public,512.9771739130434,466.6125,979.3584598698482,23.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,20.0,25.0,7593.0,5972.0,2682.0,25.67197750702905,57.0,13780.0,1599.0,2172.0,5424.0,3530.0,1600.0,1930.0,392.0126459143969,580.0,1654.0,80.0,91.0,17.3,29.0,6426.0,50.0,0,1
1052,University of Alabama at Birmingham,AL,Public,512.9771739130434,466.6125,979.3584598698482,21.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,18.0,24.0,1797.0,1260.0,938.0,24.0,35.0,6960.0,4698.0,2220.0,4440.0,5175.0,1935.0,3240.0,291.0,750.0,2200.0,96.0,96.0,6.7,16.0,16352.0,33.0,0,1
1055,University of Alabama at Huntsville,AL,Public,542.0,468.0,1010.0,24.0,470.0,610.0,390.0,530.0,21.0,26.0,1376.0,957.0,445.0,25.67197750702905,57.0,2727.0,3394.0,2480.0,4960.0,3500.0,2500.0,1000.0,392.0126459143969,600.0,2100.0,83.0,88.0,12.7,12.0,8863.0,38.0,0,1
1057,University of South Alabama,AL,Public,512.9771739130434,466.6125,979.3584598698482,23.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.0,24.0,2328.0,2110.0,1047.0,25.67197750702905,52.35,7516.0,2943.0,2208.0,3108.0,2850.0,1530.0,1320.0,183.0,480.0,1470.0,80.0,80.0,13.3,20.91296296296296,8667.0,43.0,0,1
8310,Auburn University at Montgomery,AL,Public,512.9771739130434,466.6125,979.3584598698482,21.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.259858154496555,22.740141845503445,985.0,868.0,645.0,25.67197750702905,52.35,3477.0,1929.0,1905.0,5715.0,4430.0,1650.0,2780.0,392.0126459143969,600.0,2500.0,74.0,76.0,18.1,20.91296296296296,4792.0,42.0,0,1
1085,University of Arkansas at Monticello,AR,Public,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,826.0,794.0,662.0,25.67197750702905,52.35,4539.0,357.0,1536.0,3552.0,2310.0,840.0,1470.0,84.0,500.0,2800.0,54.0,54.0,42.6,20.91296296296296,2033.0,60.40531561461794,0,1
1086,University of Arkansas at Pine Bluff,AR,Public,368.0,326.0,694.0,16.0,322.2537637435972,413.7462362564028,286.67772052771244,365.32227947228756,14.259858154496555,17.740141845503445,1450.0,1360.0,744.0,25.67197750702905,52.35,2993.0,1020.0,1392.0,3216.0,2328.0,2328.0,2060.983830845771,143.0,450.0,1389.2917038358607,47.0,48.0,16.2,20.91296296296296,4618.0,60.40531561461794,0,1
1088,Arkansas College (Lyon College),AR,Private,512.9771739130434,466.6125,979.3584598698482,25.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,22.0,27.0,708.0,334.0,166.0,46.0,74.0,530.0,182.0,8644.0,8644.0,3922.0,2382.0,1540.0,120.0,500.0,800.0,79.0,88.0,12.6,24.0,14579.0,54.0,1,0
1089,Arkansas Tech University,AR,Public,512.9771739130434,466.6125,979.3584598698482,21.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,18.0,24.0,1734.0,1729.0,951.0,12.0,52.0,3602.0,939.0,1730.0,3460.0,2650.0,2514.6819571865444,2060.983830845771,60.0,450.0,1000.0,57.0,60.0,19.6,5.0,4739.0,48.0,0,1
1090,Arkansas State University,AR,Public,512.9771739130434,466.6125,979.3584598698482,21.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,18.0,24.0,2688.0,2633.0,1488.0,25.67197750702905,52.35,7212.0,1707.0,1800.0,3720.0,2580.0,2514.6819571865444,2060.983830845771,130.0,500.0,1389.2917038358607,71.0,73.0,20.0,9.0,5128.0,39.0,0,1
1092,University of Central Arkansas,AR,Public,512.9771739130434,466.6125,979.3584598698482,22.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,18.0,25.0,3131.0,2703.0,1792.0,25.67197750702905,47.0,7402.0,1119.0,1700.0,3274.0,2600.0,1440.0,1160.0,126.0,600.0,1761.0,71.0,72.0,20.5,10.0,4252.0,36.0,0,1
1094,University of the Ozarks,AR,Private,512.9771739130434,466.6125,979.3584598698482,19.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,17.0,21.0,218.0,215.0,126.0,15.0,55.0,570.0,59.0,4800.0,4800.0,2850.0,1650.0,1200.0,120.0,400.0,2000.0,49.0,51.0,12.8,20.91296296296296,8177.0,60.40531561461794,1,0
1098,Henderson State University,AR,Public,512.9771739130434,466.6125,979.3584598698482,19.5,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,17.0,22.0,1490.0,1490.0,771.0,21.0,47.0,2942.0,997.0,1440.0,2880.0,2400.0,2400.0,2060.983830845771,80.0,500.0,1389.2917038358607,58.0,58.0,19.0,12.0,4540.0,68.0,0,1
1099,Hendrix College,AR,Private,564.0,525.0,1089.0,26.0,490.0,620.0,460.0,580.0,23.0,28.0,823.0,721.0,274.0,52.0,87.0,954.0,6.0,8800.0,8800.0,3195.0,1935.0,1260.0,325.0,500.0,1200.0,82.0,99.0,13.1,26.0,8588.0,63.0,1,0
1100,John Brown University,AR,Private,509.0,484.0,993.0,23.0,450.0,600.0,440.0,600.0,20.0,27.0,605.0,405.0,284.0,24.0,53.0,961.0,99.0,6398.0,6398.0,3672.0,1450.0,2222.0,148.0,400.0,1350.0,68.0,68.0,13.3,19.0,8118.0,75.0,1,0
1101,University of Arkansas at Little Rock,AR,Public,512.9771739130434,466.6125,979.3584598698482,19.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,17.0,22.0,1766.0,1322.0,1194.0,25.67197750702905,52.35,5753.0,4058.0,2136.0,5352.0,2435.0,2435.0,2060.983830845771,166.0,800.0,800.0,61.0,77.0,14.7,4.0,4724.0,19.0,0,1
1102,Ouachita Baptist University,AR,Private,512.9771739130434,466.6125,979.3584598698482,23.5,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,21.0,26.0,910.0,773.0,450.0,31.0,73.0,1310.0,61.0,6530.0,6530.0,2800.0,2800.0,2060.983830845771,100.0,500.0,1500.0,63.0,67.0,13.3,10.0,6413.0,65.0,1,0
1103,Philander Smith College,AR,Private,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,350.0,350.0,222.0,12.0,23.0,701.0,239.0,2370.0,2370.0,1260.0,630.0,630.0,392.0126459143969,549.9728867623604,1389.2917038358607,41.0,41.0,18.1,20.91296296296296,8987.890736342042,60.40531561461794,1,0
1106,Williams Baptist College,AR,Private,512.9771739130434,466.6125,979.3584598698482,19.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,17.0,22.0,220.0,210.0,131.0,12.0,34.0,509.0,97.0,3952.0,3952.0,2292.0,2514.6819571865444,2060.983830845771,150.0,400.0,600.0,62.0,62.0,18.0,20.91296296296296,4061.0,60.40531561461794,1,0
1107,Southern Arkansas University,AR,Public,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,792.0,792.0,499.0,26.0,45.0,2229.0,270.0,1500.0,2340.0,2240.0,2514.6819571865444,2060.983830845771,392.0126459143969,400.0,1389.2917038358607,40.0,74.0,17.0,20.91296296296296,4653.0,33.0,0,1
1108,University of Arkansas at Fayetteville,AR,Public,512.9771739130434,466.6125,979.3584598698482,23.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,20.0,26.0,3235.0,3108.0,2133.0,25.0,65.0,9978.0,1530.0,1932.0,5028.0,3300.0,3300.0,2060.983830845771,122.0,500.0,2000.0,73.0,89.0,14.8,10.0,6820.0,39.0,0,1
10311,Harding University,AR,Private,530.0,490.0,1020.0,24.0,484.2537637435972,575.7462362564028,450.67772052771244,529.3222794722876,20.0,28.0,1721.0,1068.0,806.0,35.0,75.0,3128.0,213.0,5504.0,5504.0,3528.0,1650.0,1878.0,1016.0,700.0,910.0,71.0,77.0,17.7,37.0,6466.0,73.0,1,0
1074,Grand Canyon University,AZ,Private,485.0,441.0,926.0,22.0,420.0,550.0,380.0,500.0,19.0,24.0,497.0,393.0,169.0,25.67197750702905,52.35,1364.0,454.0,6870.0,6870.0,3100.0,2514.6819571865444,2060.983830845771,370.0,400.0,1125.0,56.0,60.0,14.2,20.91296296296296,6219.0,81.0,1,0
1081,Arizona State University Main campus,AZ,Public,521.0,453.0,974.0,23.0,450.0,590.0,390.0,500.0,20.0,25.0,12809.0,10308.0,3761.0,24.0,49.0,22593.0,7585.0,1828.0,7434.0,4850.0,2514.6819571865444,2060.983830845771,66.0,700.0,2100.0,88.0,93.0,18.9,5.0,4602.0,48.0,0,1
1082,Northern Arizona University,AZ,Public,495.0,444.0,939.0,22.0,420.0,560.0,380.0,500.0,19.0,24.0,5891.0,4931.0,1973.0,23.0,48.0,11249.0,2682.0,1828.0,6746.0,3728.0,1890.0,1838.0,66.0,620.0,2342.0,78.0,83.0,21.7,7.0,6157.0,41.0,0,1
1083,University of Arizona,AZ,Public,526.0,462.0,983.0,23.0,450.0,600.0,400.0,520.0,20.0,26.0,14079.0,12238.0,4529.0,29.0,57.0,21664.0,4894.0,1828.0,7434.0,4216.0,2186.0,2030.0,66.0,620.0,2550.0,91.0,95.0,19.6,20.91296296296296,9683.0,49.0,0,1
29022,Prescott College,AZ,Private,512.9771739130434,466.6125,1000.0,23.0,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,21.259858154496555,24.740141845503445,321.0,227.0,129.0,25.67197750702905,52.35,693.0,40.0,9800.0,9800.0,4162.106851549755,2514.6819571865444,2060.983830845771,495.0,400.0,3522.0,55.0,58.0,2.3,20.91296296296296,6562.0,60.40531561461794,1,0
1117,Azusa Pacific University,CA,Private,474.0,428.0,902.0,21.0,410.0,560.0,380.0,490.0,19.0,24.0,1080.0,948.0,504.0,25.0,56.0,2032.0,122.0,15500.0,15500.0,3700.0,1900.0,1800.0,206.0,250.0,750.0,47.0,60.0,12.8,7.0,9627.0,60.40531561461794,1,0
1122,Biola University,CA,Private,500.0,440.0,940.0,22.0,425.0,590.0,400.0,550.0,18.0,26.0,1118.0,896.0,459.0,25.67197750702905,52.35,2058.0,111.0,11388.0,11388.0,4546.0,1984.0,2562.0,392.0126459143969,1000.0,1389.2917038358607,67.0,67.0,16.6,15.0,9329.0,36.0,1,0
1125,California Baptist College,CA,Private,441.0,395.0,836.0,19.0,395.2537637435972,486.7462362564028,355.67772052771244,434.32227947228756,17.259858154496555,20.740141845503445,308.0,262.0,157.0,25.67197750702905,44.0,592.0,113.0,6370.0,6370.0,3894.0,1800.0,2094.0,370.0,549.9728867623604,1389.2917038358607,56.0,63.0,13.0,20.91296296296296,8554.0,43.0,1,0
1131,California Institute of Technology,CA,Private,750.0,660.0,1410.0,22.234338747099766,740.0,780.0,610.0,700.0,19.716602984622803,24.59198170215222,1916.0,507.0,210.0,98.0,100.0,912.0,1081.5267716535434,16695.0,16695.0,5051.0,2514.6819571865444,2060.983830845771,210.0,735.0,3466.0,100.0,100.0,6.5,36.0,62469.0,83.0,1,0
1133,California Lutheran University,CA,Private,495.0,436.0,931.0,21.0,430.0,560.0,370.0,490.0,19.0,24.0,563.0,247.0,247.0,23.0,52.0,1427.0,432.0,12950.0,12950.0,5300.0,5300.0,2060.983830845771,215.0,612.0,576.0,72.0,74.0,12.4,17.0,8985.0,60.0,1,0
1137,California State Univ. at Fullerton,CA,Public,476.0,395.0,871.0,21.0,400.0,540.0,330.0,450.0,17.0,23.0,6004.0,4480.0,1470.0,25.67197750702905,52.35,12147.0,6681.0,1606.0,8990.0,3476.0,3476.0,2060.983830845771,1606.0,600.0,1389.2917038358607,88.0,93.0,19.9,20.91296296296296,6288.0,56.0,0,1
1138,California State Univ. at Hayward,CA,Public,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,2121.0,698.0,1126.0,25.67197750702905,52.35,6790.0,2988.0,1432.0,8803.0,2550.0,2550.0,2060.983830845771,392.0126459143969,450.0,1389.2917038358607,68.64566929133858,75.23113207547169,20.5,20.91296296296296,7237.0,47.0,0,1
1139,California State Univ. at Long Beach,CA,Public,456.0,382.0,838.0,21.0,410.2537637435972,501.7462362564028,342.67772052771244,421.32227947228756,19.259858154496555,22.740141845503445,10278.0,7746.0,2576.0,25.67197750702905,52.35,3692.6651270207853,1081.5267716535434,1053.0,8233.0,4400.0,4400.0,2060.983830845771,392.0126459143969,549.9728867623604,1389.2917038358607,80.0,83.0,20.3,20.91296296296296,5382.0,48.0,0,1
1140,California State Univ. at Los Angeles,CA,Public,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,5609.0,2756.0,1268.0,25.67197750702905,52.35,9358.0,5222.0,1788.0,7454.0,2900.0,2900.0,2060.983830845771,119.0,577.0,1389.2917038358607,53.0,58.0,20.4,20.91296296296296,8145.0,49.0,0,1
1141,California State Univ. at Dominguez Hills,CA,Public,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,1493.0,1194.0,428.0,25.67197750702905,52.35,4246.0,2457.0,1440.0,8820.0,2116.0,2514.6819571865444,2116.0,392.0126459143969,549.9728867623604,1389.2917038358607,90.0,90.0,18.1,20.91296296296296,8257.0,24.0,0,1
1142,California State Univ. at San Bernardino,CA,Public,440.0,399.0,839.0,22.234338747099766,370.0,500.0,340.0,460.0,19.716602984622803,24.59198170215222,2329.0,1619.0,1521.0,25.67197750702905,52.35,6609.0,4398.0,7897.274371069182,9276.905616224649,4162.106851549755,2514.6819571865444,2060.983830845771,392.0126459143969,549.9728867623604,1389.2917038358607,93.0,100.0,20.3,20.91296296296296,6654.0,49.0,0,1
1143,California Polytechnic-San Luis,CA,Public,547.0,455.0,1002.0,21.0,300.0,700.0,300.0,600.0,17.0,26.0,7811.0,3817.0,1650.0,47.0,73.0,12911.0,1404.0,2033.0,7380.0,4877.0,2335.0,2542.0,20.0,612.0,2091.0,72.0,81.0,19.8,13.0,8453.0,59.0,0,1
1144,California Poly-Pomona,CA,Public,495.0,390.0,885.0,20.5,420.0,570.0,320.0,460.0,17.0,24.0,5945.0,3887.0,1566.0,25.67197750702905,60.0,11177.0,4027.0,7897.274371069182,5904.0,4862.0,2499.0,2363.0,1720.0,630.0,2430.0,73.0,76.0,18.5,7.0,7867.0,50.0,0,1
1146,California State University at Chico,CA,Public,479.0,420.0,899.0,21.0,420.0,540.0,370.0,480.0,18.0,23.0,4816.0,3922.0,1278.0,25.67197750702905,75.0,11822.0,1343.0,7897.274371069182,5904.0,5050.0,2020.0,3030.0,1982.0,612.0,2100.0,68.64566929133858,75.23113207547169,18.9,5.0,7798.0,63.0,0,1
1147,California State University at Fresno,CA,Public,512.9771739130434,466.6125,979.3584598698482,22.234338747099766,453.88756199353594,570.0678727890721,412.9242419979357,519.5290188716301,19.716602984622803,24.59198170215222,4540.0,3294.0,1483.0,5.0,60.0,13494.0,1254.0,1802.0,7706.0,4368.0,2514.6819571865444,2060.983830845771,392.0126459143969,600.0,1926.0,90.0,90.0,21.2,8.0,7268.0,61.0,0,1
1149,Humboldt State University,CA,Public,501.0,455.0,956.0,22.0,455.2537637435972,546.7462362564028,415.67772052771244,494.32227947228756,20.259858154496555,23.740141845503445,3467.0,2190.0,565.0,25.67197750702905,52.35,5637.0,678.0,1599.0,9979.0,4200.0,4200.0,2060.983830845771,1467.0,600.0,800.0,80.0,82.0,16.4,4.0,8650.0,65.0,0,1
1150,California State University at Sacramento,CA,Public,476.0,408.0,884.0,22.234338747099766,430.2537637435972,521.7462362564028,368.67772052771244,447.32227947228756,19.716602984622803,24.59198170215222,4348.0,3026.0,1234.0,25.67197750702905,52.35,13724.0,8161.0,1716.0,9096.0,4500.0,2514.6819571865444,2060.983830845771,392.0126459143969,700.0,1389.2917038358607,79.0,75.23113207547169,19.2,3.0,7530.0,47.0,0,1
1151,San Diego State University,CA,Public,457.0,394.0,851.0,20.0,411.2537637435972,502.7462362564028,354.67772052771244,433.32227947228756,18.259858154496555,21.740141845503445,9402.0,7020.0,2151.0,20.0,70.0,16407.0,5550.0,1742.0,8384.0,5110.0,3556.0,2060.983830845771,392.0126459143969,612.0,2400.0,87.0,93.0,19.5,7.0,7930.0,41.0,0,1
1153,California State University at Northridge,CA,Public,444.0,365.0,809.0,19.0,398.2537637435972,489.7462362564028,325.67772052771244,404.32227947228756,17.259858154496555,20.740141845503445,7672.0,5331.0,2157.0,25.67197750702905,33.0,15567.0,7544.0,1440.0,5904.0,5500.0,2514.6819571865444,2060.983830845771,1520.0,576.0,1464.0,68.64566929133858,83.0,20.3,20.91296296296296,6691.0,43.0,0,1
1154,San Francisco State University,CA,Public,444.0,372.0,816.0,19.0,400.0,510.0,290.0,450.0,16.0,22.0,5385.0,3539.0,1259.0,25.67197750702905,52.35,13165.0,5937.0,1584.0,8964.0,6776.0,2514.6819571865444,2060.983830845771,352.0,630.0,2286.0,75.0,77.0,17.4,1.0,7651.0,55.0,0,1
