FICE (Federal ID number),College name,State (postal code),"Type  (I, IIA, or IIB)",Average salary - full professors,Average salary - associate professors,Average salary - assistant professors,Average salary - all ranks,Average compensation - full professors,Average compensation - associate professors,Average compensation - assistant professors,Average compensation - all ranks,Number of full professors,Number of associate professors,Number of assistant professors,Number of instructors,Number of faculty - all ranks
1052,Univ. Alabama at Birmingham,AL,I,63300.0,44500.0,36600.0,46100,78600.0,56900.0,47500.0,58700,106,163,107,19,406
1055,Univ. Alabama in Huntsville,AL,IIA,63600.0,44300.0,37500.0,45100,77100.0,54000.0,45500.0,54800,72,87,98,7,282
1057,University of South Alabama,AL,IIA,54200.0,42600.0,37000.0,41800,64500.0,51400.0,45000.0,50400,119,103,142,64,434
8310,Auburn Univ. at Montgomery,AL,IIA,51900.0,42200.0,34300.0,40300,62100.0,50700.0,41100.0,48300,56,54,63,28,201
1085,Univ. Ark. at Monticello,AR,IIB,45300.0,36300.0,33000.0,34900,56100.0,44800.0,40200.0,42800,23,24,48,22,117
1086,Univ. Arkansas at Pine Bluff,AR,IIB,40600.0,36600.0,33200.0,33500,50500.0,45700.0,41500.0,41900,40,33,71,46,192
1088,Arkansas College (Lyon College),AR,IIB,49900.0,41639.555555555555,33000.0,39900,61800.0,52379.28888888889,40200.0,48800,14,5,21,2,42
1089,Arkansas Tech University,AR,IIB,43900.0,38100.0,33700.0,37400,55000.0,47900.0,42700.0,47100,44,71,52,13,180
1090,Arkansas State Univ.-Main,AR,IIA,52000.0,43300.0,34200.0,39800,64600.0,54100.0,43100.0,49800,103,87,141,63,394
1092,Univ. of Central Arkansas,AR,IIA,52100.0,41600.0,33900.0,39500,63200.0,50700.0,41600.0,48200,93,89,82,76,340
1094,University of the Ozarks,AR,IIB,30900.0,28000.0,27400.0,28500,42800.0,38300.0,37600.0,39100,14,9,15,2,40
1098,Henderson State University,AR,IIB,44700.0,37500.0,34100.0,37500,56100.0,48000.0,43500.0,47700,55,42,33,25,155
1099,Hendrix College,AR,IIB,48500.0,39900.0,36200.0,42100,66400.0,53400.0,45300.0,56200,24,26,14,1,65
1100,John Brown University,AR,IIB,37200.0,33800.0,30400.0,34100,47800.0,41400.0,37500.0,42600,23,22,10,3,58
1101,Univ. Ark. at Little Rock,AR,IIA,53600.0,41600.0,37200.0,41500,65100.0,50600.0,45000.0,50400,128,117,72,63,398
1102,Ouachita Baptist University,AR,IIB,42200.0,35500.0,28900.0,34200,52900.0,44500.0,37500.0,43500,36,14,28,19,97
1106,Williams Baptist College,AR,IIB,52414.45562671546,41639.555555555555,26400.0,26600,65348.7648673376,52379.28888888889,32700.0,33100,4,4,12,4,24
1107,Southern Ark. Univ.-Main,AR,IIA,46100.0,38900.0,32100.0,36200,57500.0,48400.0,40200.0,45300,27,31,34,23,115
1108,Univ. Arkansas-Fayetteville,AR,I,56300.0,43600.0,37900.0,45200,68600.0,53100.0,46100.0,55000,314,198,225,54,806
10311,Harding University,AR,IIB,42400.0,37400.0,33500.0,38000,51200.0,46100.0,40100.0,46000,80,46,41,8,179
1074,Grand Canyon University,AZ,IIB,35800.0,32800.0,27400.0,29900,43900.0,39500.0,33200.0,36300,20,18,24,12,74
1081,Arizona State University,AZ,I,60300.0,44900.0,39900.0,48900,72300.0,54900.0,48900.0,59300,576,445,251,7,1383
1082,Northern Arizona University,AZ,I,51100.0,42200.0,35900.0,41200,61900.0,51800.0,44600.0,50700,173,192,175,33,608
1083,University of Arizona,AZ,I,64800.0,46200.0,41100.0,53700,77100.0,56100.0,49800.0,64500,647,377,272,2,1349
1117,Azusa Pacific University,CA,IIA,43000.0,37500.0,31800.0,36800,57300.0,49400.0,42800.0,48800,43,62,32,12,156
1122,Biola University,CA,IIA,45500.0,36900.0,30300.0,37000,58200.0,46200.0,37100.0,46400,32,57,31,6,126
1131,California Inst. of Tech.,CA,I,97000.0,73300.0,57600.0,86600,120400.0,90900.0,71700.0,107500,173,40,44,0,257
1133,California Lutheran Univ.,CA,IIB,47700.0,39200.0,33500.0,39800,60000.0,50100.0,43300.0,50700,32,21,33,6,92
1137,Cal.St.Univ-Fullerton,CA,IIA,60500.0,49300.0,38700.0,54400,76000.0,63700.0,50600.0,69000,393,120,105,5,623
1138,Cal.St.Univ-Hayward,CA,IIA,60600.0,49100.0,38400.0,55200,76200.0,62900.0,50300.0,69900,258,69,49,7,383
1139,Cal.St.Univ-Long Beach,CA,IIA,60000.0,47400.0,40100.0,54200,75100.0,61000.0,52100.0,68500,491,171,112,6,780
1141,Cal.St.Univ-Dominguez Hills,CA,IIA,60500.0,47200.0,39200.0,54800,75900.0,60600.0,59300.0,70500,178,52,37,1,268
1143,Cal.Poly.St.U-Sn Luis Obispo,CA,IIA,60700.0,49600.0,39400.0,57100,76300.0,63500.0,51400.0,72100,507,102,60,1,670
1144,Cal.Poly.St.Univ-Pomona,CA,IIA,61000.0,49200.0,40800.0,55900,76600.0,63000.0,53100.0,70700,411,116,79,4,610
1146,Cal.St.Univ-Chico,CA,IIA,60400.0,48200.0,39500.0,55800,75800.0,63100.0,51800.0,70700,413,86,73,2,574
1147,Cal.St.Univ-Fresno,CA,IIA,60300.0,47600.0,38200.0,55300,75700.0,61200.0,50000.0,69900,459,109,67,14,649
1149,Humboldt State University,CA,IIA,59300.0,46800.0,38700.0,54300,74600.0,60300.0,50700.0,68800,213,38,50,0,301
1151,San Diego State University,CA,IIA,60200.0,47900.0,40300.0,54700,75600.0,61500.0,52400.0,69300,576,223,100,10,909
1155,San Jose State University,CA,IIA,59800.0,48600.0,40400.0,52800,75000.0,62300.0,52600.0,66900,431,222,158,8,819
1156,Sonoma State University,CA,IIA,60200.0,45900.0,38000.0,55300,75500.0,59200.0,49700.0,69900,170,34,29,0,233
1164,Chapman University,CA,IIA,57800.0,47000.0,42000.0,49100,76300.0,62700.0,57300.0,65600,38,37,36,0,111
1170,Claremont McKenna College,CA,IIB,71600.0,51600.0,41100.0,60100,89200.0,66100.0,51000.0,75100,36,16,12,2,67
1171,Harvey Mudd College,CA,IIB,77100.0,57900.0,45400.0,63800,96100.0,73900.0,58800.0,80500,34,14,20,0,68
1172,Pitzer College,CA,IIB,65200.0,43900.0,38100.0,54700,82400.0,57200.0,48200.0,69500,31,10,13,0,54
1173,Pomona College,CA,IIB,73000.0,52500.0,41700.0,56600,90900.0,65800.0,53000.0,70800,60,52,40,7,161
1174,Scripps College,CA,IIB,61100.0,45800.0,37200.0,51100,77600.0,58800.0,49500.0,65800,28,10,15,1,54
1179,College of Notre Dame,CA,IIB,52400.0,42100.0,37400.0,44800,63000.0,50300.0,44300.0,53500,25,16,15,3,59
1183,Holy Names College,CA,IIB,48400.0,39400.0,27500.0,36800,54200.0,44300.0,31100.0,41300,10,22,18,1,51
1216,University of La Verne,CA,IIA,48200.0,39200.0,32600.0,40100,60200.0,47800.0,39600.0,49400,41,28,41,0,110
1238,Mills College,CA,IIA,59300.0,46100.0,40700.0,49200,73700.0,57100.0,50700.0,61200,28,16,23,2,70
1249,Occidental College,CA,IIB,62400.0,46900.0,38800.0,49000,80600.0,59300.0,48200.0,62100,49,42,33,15,139
1253,Fresno Pacific College,CA,IIB,52414.45562671546,41639.555555555555,35192.70008795075,36100,65348.7648673376,52379.28888888889,44211.257695690416,44700,0,0,0,0,54
1258,Pacific Union College,CA,IIB,36200.0,33300.0,31500.0,33600,44100.0,39800.0,37600.0,40300,40,17,41,4,102
1262,Point Loma Nazarene College,CA,IIB,50700.0,39300.0,35800.0,42900,63700.0,52300.0,46800.0,54900,43,21,23,7,94
1264,Pepperdine University,CA,IIA,71500.0,56100.0,51100.0,63700,93000.0,73700.0,64500.0,82900,130,72,22,7,231
1302,Saint Mary's Coll. of Calif.,CA,IIA,61400.0,49400.0,40400.0,50000,75400.0,61600.0,49700.0,61800,38,55,42,0,135
1305,Stanford University,CA,I,95200.0,65800.0,51900.0,82400,114400.0,81400.0,65300.0,100000,533,139,145,0,834
1312,Univ.of Calif.-Berkeley,CA,I,76400.0,51300.0,43300.0,65000,93900.0,63100.0,53300.0,79900,834,229,209,0,1346
1313,Univ.of Calif.-Davis,CA,I,68300.0,47800.0,40400.0,56100,84000.0,58800.0,49600.0,68900,535,190,234,0,1072
1314,Univ.of Calif.-Irvine,CA,I,70800.0,48800.0,42300.0,57400,87000.0,59900.0,52000.0,70500,319,161,138,0,673
1315,Univ.of Calif.-Los Angeles,CA,I,74100.0,49700.0,42100.0,60900,91000.0,61100.0,51700.0,74800,817,267,298,0,1499
1316,Univ.of Calif.-Riverside,CA,I,67000.0,46100.0,39000.0,51400,82400.0,56700.0,47900.0,63200,183,80,140,0,441
1317,Univ.of Calif.-San Diego,CA,I,72300.0,48700.0,40100.0,59500,88800.0,59800.0,49300.0,73200,405,147,130,0,734
1319,Univ.of Calif.-San Francisco,CA,I,62400.0,44900.0,38000.0,52000,76700.0,55200.0,46700.0,63900,154,83,74,0,314
1320,Univ.of Calif.-Santa Barbara,CA,I,71200.0,47300.0,40100.0,57800,87500.0,58100.0,49300.0,71100,371,125,145,0,694
1321,Univ.of Calif.-Santa Cruz,CA,I,67700.0,46400.0,39100.0,53700,83200.0,57000.0,48100.0,66000,186,93,92,0,413
1322,University of Redlands,CA,IIA,56600.0,46800.0,40600.0,48800,71600.0,59200.0,49500.0,61000,49,19,39,0,109
1325,University of San Francisco,CA,IIA,61700.0,48600.0,40500.0,51400,81100.0,64400.0,53800.0,68000,129,59,80,19,287
1326,Santa Clara University,CA,IIA,76300.0,55500.0,48700.0,57800,93800.0,70400.0,62400.0,72900,85,117,90,0,324
1328,Univ. of Southern California,CA,I,80200.0,57400.0,48400.0,64100,101600.0,75100.0,63600.0,82500,485,354,286,27,1165
1329,University of the Pacific,CA,IIA,54200.0,42000.0,37200.0,45900,66600.0,52800.0,46800.0,57000,172,92,100,10,377
1341,Westmont College,CA,IIB,48900.0,40800.0,33900.0,41500,61600.0,52400.0,42900.0,52600,30,19,22,3,74
1342,Whittier College,CA,IIA,66600.0,49900.0,34700.0,53100,80800.0,60100.0,41600.0,64200,48,27,24,9,108
1343,Woodbury University,CA,IIA,52414.45562671546,37300.0,36500.0,38100,65348.7648673376,47200.0,45400.0,47800,5,11,6,0,22
3948,San Francisco State Univ.,CA,IIA,59900.0,48300.0,39700.0,54100,75100.0,61900.0,51800.0,68400,451,133,117,8,709
7993,Cal.St.Univ-Bakersfield,CA,IIA,59700.0,48200.0,37700.0,49900,75200.0,61900.0,49500.0,63700,95,48,50,13,206
10395,University of San Diego,CA,IIA,71900.0,53300.0,45200.0,57500,90400.0,67800.0,56900.0,72500,105,72,76,12,265
11649,Loyola Marymount University,CA,IIA,72200.0,55800.0,41400.0,58900,91100.0,72400.0,54300.0,75400,130,90,83,3,310
1345,Adams State College,CO,IIA,43600.0,35600.0,32100.0,36000,52700.0,44400.0,40000.0,44400,29,21,40,8,98
1347,Colorado College,CO,IIB,61300.0,48800.0,39800.0,52500,77600.0,62100.0,50900.0,66500,63,38,26,1,134
1349,Univ. of Northern Colorado,CO,I,48000.0,39000.0,33300.0,38500,56500.0,46300.0,39900.0,45800,151,111,129,35,467
1350,Colorado State University,CO,I,59800.0,44700.0,40300.0,51700,71400.0,53400.0,48100.0,61700,483,255,188,0,926
1353,Fort Lewis College,CO,IIB,43900.0,38500.0,34200.0,39200,51600.0,45200.0,40200.0,46000,73,35,52,5,165
1358,Mesa State College,CO,IIB,42900.0,35300.0,29700.0,34000,50800.0,42700.0,36300.0,41000,49,31,37,7,145
1360,Metro. State Coll.of Denver,CO,IIB,48000.0,40600.0,35100.0,41800,56800.0,48500.0,42400.0,49800,159,90,111,8,370
1363,Regis University,CO,IIB,48900.0,43400.0,34900.0,42400,62600.0,53100.0,42800.0,52700,16,26,12,2,56
1365,University Southern Colorado,CO,IIA,47400.0,42200.0,36000.0,39700,55900.0,49800.0,42500.0,46800,47,45,63,15,170
1370,Univ. of Colorado- Boulder,CO,I,65200.0,49400.0,42100.0,52800,79700.0,61500.0,51900.0,64900,457,301,227,93,1081
1371,University of Denver,CO,I,62300.0,47900.0,43000.0,50900,75600.0,58800.0,52500.0,62000,142,106,101,6,378
1372,Western State Coll. of Colo.,CO,IIB,45200.0,38100.0,32400.0,40200,54600.0,46000.0,40600.0,49000,52,25,26,0,103
4509,Univ. of Colo. at Colo.Sprgs,CO,IIA,52200.0,42200.0,38500.0,45100,64200.0,52400.0,48000.0,55800,62,56,40,3,161
6740,Univ. of Colorado at Denver,CO,IIA,59600.0,45300.0,40800.0,46700,72600.0,56100.0,50800.0,57600,106,108,119,35,368
9401,Colorado Christian Univ.,CO,IIB,52414.45562671546,28400.0,25100.0,25500,65348.7648673376,35600.0,31800.0,32300,3,8,13,8,32
1374,Albertus Magnus College,CT,IIB,39100.0,34300.0,35192.70008795075,34000,44400.0,40000.0,44211.257695690416,39300,9,7,5,3,24
1378,Central Connecticut St.Univ.,CT,IIA,66600.0,53400.0,39700.0,51800,85600.0,70000.0,53600.0,68000,118,119,137,16,390
1379,Connecticut College,CT,IIB,61900.0,46100.0,36600.0,49900,81000.0,61300.0,47700.0,65400,63,35,30,11,140
1380,Western Conn. State Univ.,CT,IIA,65800.0,51600.0,47700.0,57500,88300.0,71100.0,65200.0,77800,90,36,50,2,178
1385,Fairfield University,CT,IIA,68500.0,54500.0,45200.0,54500,89400.0,73300.0,60300.0,72100,62,43,81,6,192
1397,University of New Haven,CT,IIA,52400.0,45000.0,40100.0,47100,65600.0,57600.0,51300.0,59600,72,44,30,1,152
1402,Quinnipiac College,CT,IIA,69700.0,54000.0,41200.0,55300,87700.0,68600.0,53100.0,70100,82,51,64,10,207
1403,Sacred Heart University,CT,IIB,54600.0,44400.0,37400.0,43500,68600.0,56600.0,47800.0,55300,19,55,30,7,111
1406,Southern Conn. State Univ.,CT,IIA,64400.0,51400.0,38500.0,52200,81900.0,67300.0,51600.0,67800,160,125,120,12,417
1409,Saint Joseph College,CT,IIA,54800.0,45100.0,36000.0,43000,65400.0,54400.0,43200.0,51700,8,34,22,1,65
1414,Trinity College,CT,IIB,70600.0,50100.0,39400.0,55000,90100.0,65000.0,49400.0,70400,57,49,32,0,146
1416,University of Bridgeport,CT,IIA,50500.0,43700.0,36000.0,43400,64400.0,55100.0,46300.0,55300,32,29,26,1,90
1422,University of Hartford,CT,IIA,52900.0,44500.0,38000.0,43900,66000.0,56600.0,49200.0,55800,76,131,111,3,329
1424,Wesleyan University,CT,IIA,73400.0,50400.0,42300.0,59700,93600.0,64100.0,53900.0,76100,128,57,66,0,254
1425,Eastern Connecticut St.Univ.,CT,IIA,65000.0,51500.0,40000.0,53500,85600.0,68900.0,54700.0,71400,47,47,33,0,127
1426,Yale University,CT,I,92800.0,52200.0,44400.0,70800,112700.0,64300.0,54800.0,86300,404,118,191,6,767
1434,American University,DC,I,74600.0,52000.0,41700.0,55500,89700.0,64100.0,50500.0,67300,165,119,125,37,446
1437,Catholic Univ. of America,DC,I,61100.0,44900.0,38500.0,48200,71800.0,53300.0,45900.0,57000,123,141,104,6,374
1443,Gallaudet University,DC,IIA,62300.0,48000.0,39900.0,48200,81400.0,63800.0,53400.0,63700,86,67,70,35,261
1444,George Washington University,DC,I,72900.0,54200.0,44700.0,61000,87400.0,65300.0,53600.0,73300,316,175,134,12,637
1445,Georgetown University,DC,I,85700.0,55200.0,42700.0,61800,108000.0,71000.0,54600.0,78500,192,157,154,25,528
1448,Howard University,DC,I,65600.0,48300.0,40300.0,48100,78000.0,59100.0,49400.0,58700,241,282,189,111,891
1452,Mount Vernon College,DC,IIB,52414.45562671546,36000.0,28800.0,33000,65348.7648673376,45300.0,36400.0,41300,3,10,17,0,30
1460,Trinity College,DC,IIB,45700.0,36200.0,29300.0,35000,53600.0,43500.0,34900.0,41500,12,12,21,2,47
29100,Univ.of District Columbia,DC,IIA,55900.0,47600.0,39000.0,49100,68600.0,58600.0,48200.0,60400,184,113,95,8,400
1428,Delaware State University,DE,IIA,54500.0,43500.0,35900.0,37900,71600.0,58300.0,49100.0,51500,29,47,61,34,183
1429,Goldey Beacom College,DE,IIB,49200.0,40500.0,35192.70008795075,41700,61300.0,51100.0,44211.257695690416,52800,8,14,3,1,26
1431,University of Delaware,DE,I,72300.0,53100.0,42200.0,55600,92200.0,69300.0,55400.0,72100,341,319,217,65,953
1433,Wesley College,DE,IIB,44800.0,37300.0,33400.0,37600,56500.0,44900.0,39600.0,45600,14,12,22,1,49
1466,Barry University,FL,IIA,48800.0,42000.0,35000.0,39400,59800.0,50800.0,42400.0,47700,39,77,84,15,215
1468,St. Thomas University,FL,IIA,43800.0,48200.0,35100.0,40300,52000.0,57000.0,42100.0,48000,23,22,37,4,90
1479,Embry-Riddle Aero University,FL,IIA,45700.0,36900.0,31000.0,36500,55600.0,45200.0,38300.0,44600,70,130,84,7,299
1480,Florida A & M University,FL,IIA,52400.0,42600.0,35900.0,42400,66100.0,54300.0,46000.0,54000,103,123,111,27,364
1481,Florida Atlantic University,FL,IIA,58000.0,42600.0,39400.0,46100,75000.0,55900.0,51700.0,60100,183,147,159,30,528
1487,Eckerd College,FL,IIB,53400.0,42400.0,35700.0,43600,67600.0,54700.0,47200.0,56300,32,18,37,0,87
1488,Florida Southern College,FL,IIB,44000.0,36900.0,33100.0,36900,55200.0,47300.0,40900.0,46300,30,18,44,4,96
1489,Florida State University,FL,I,56400.0,39900.0,37800.0,47300,72900.0,52500.0,49400.0,61600,510,316,192,16,1038
1515,Rollins College,FL,IIA,54200.0,42000.0,32100.0,45700,67800.0,51900.0,37800.0,56400,78,43,26,7,154
1531,Stetson University,FL,IIA,62200.0,43700.0,37000.0,47700,79400.0,56100.0,46700.0,60500,61,52,65,2,185
1535,University of Florida,FL,I,61300.0,43000.0,39900.0,50100,79000.0,56700.0,52700.0,65300,981,721,510,49,2261
1536,University of Miami,FL,I,69300.0,51000.0,40800.0,51300,89500.0,65400.0,51400.0,65900,291,200,147,20,769
1537,University of South Florida,FL,I,57100.0,41800.0,36900.0,45500,73500.0,54700.0,48300.0,59100,387,319,239,45,1038
1538,University of Tampa,FL,IIB,49500.0,42500.0,37100.0,41600,59300.0,51300.0,43800.0,49700,36,37,46,4,127
3954,University Central Florida,FL,IIA,56000.0,42000.0,36900.0,43500,69800.0,52700.0,46500.0,54500,176,207,162,42,593
3955,University of West Florida,FL,IIA,48900.0,39100.0,35000.0,39000,63600.0,50500.0,45800.0,50700,59,65,75,22,221
8849,Palm Beach Atlantic College,FL,IIB,41300.0,36900.0,33300.0,34800,49100.0,45100.0,39000.0,41200,11,14,28,13,66
9635,Florida Internat'l Univ.,FL,IIA,55800.0,42300.0,39500.0,43300,71900.0,55300.0,50900.0,56200,182,261,220,76,767
9841,University of North Florida,FL,IIB,49800.0,40500.0,34300.0,40800,66300.0,54400.0,46200.0,54700,73,81,57,19,230
1542,Agnes Scott College,GA,IIB,52700.0,42100.0,35600.0,42600,65100.0,52800.0,44100.0,52800,19,24,19,4,66
1544,Albany State College,GA,IIB,44400.0,39500.0,33500.0,37100,57800.0,51900.0,43700.0,48400,38,24,68,8,138
1546,Armstrong State College,GA,IIB,46200.0,36700.0,31500.0,34700,58800.0,45700.0,39100.0,43400,38,32,119,12,201
1552,Augusta College,GA,IIA,50300.0,40900.0,33600.0,38300,64500.0,52000.0,43100.0,48900,40,43,79,21,183
1554,Berry College,GA,IIB,51500.0,40300.0,34300.0,39900,65000.0,51900.0,43900.0,50900,25,20,38,3,92
1561,Columbus College,GA,IIA,45600.0,37500.0,33300.0,39600,58800.0,49100.0,43700.0,51500,75,50,51,2,178
1564,Emory University,GA,I,79600.0,54700.0,45100.0,60800,97200.0,68600.0,56700.0,75300,203,177,161,8,549
1566,Fort Valley State College,GA,IIB,47100.0,38200.0,33900.0,37900,59600.0,49000.0,43900.0,48700,37,39,49,17,142
1569,Georgia Institute of Tech.,GA,I,68400.0,51700.0,46200.0,55800,86200.0,66500.0,59400.0,71100,235,206,167,17,626
1570,Southern Coll. of Technology,GA,IIB,45700.0,38600.0,36000.0,39800,58700.0,49600.0,46000.0,51100,44,58,40,4,146
1572,Georgia Southern University,GA,IIA,49500.0,40800.0,32800.0,36300,62300.0,50900.0,40700.0,45300,105,135,254,109,603
1574,Georgia State University,GA,I,66600.0,47400.0,39000.0,50200,81700.0,59400.0,49300.0,62400,258,254,241,40,793
1577,Kennesaw State College,GA,IIA,52300.0,42800.0,35300.0,39900,66100.0,54200.0,44500.0,50600,69,116,111,54,350
1580,Mercer University-Entire,GA,IIA,55500.0,42300.0,35100.0,43300,68600.0,53800.0,43500.0,54000,76,78,81,11,246
1586,Oglethorpe University,GA,IIB,51600.0,45400.0,32900.0,45000,63000.0,55000.0,39000.0,54600,21,9,10,0,44
1591,Shorter College,GA,IIB,37000.0,30800.0,29400.0,31700,43900.0,36800.0,35500.0,37900,16,17,17,5,55
1598,University of Georgia,GA,I,61900.0,44400.0,37800.0,48900,76800.0,55300.0,46400.0,60700,650,552,391,64,1658
1599,Valdosta State University,GA,IIA,47700.0,38600.0,34400.0,39000,60300.0,49600.0,44500.0,50000,88,90,114,19,311
1601,West Georgia College,GA,IIA,46600.0,39100.0,35300.0,39200,59500.0,50200.0,45400.0,50200,98,50,97,27,272
1602,Georgia College,GA,IIA,44700.0,38800.0,34000.0,37300,57100.0,49600.0,44000.0,47900,47,41,80,11,179
3484,Covenant College,GA,IIB,42900.0,37100.0,31200.0,38800,51900.0,49200.0,39000.0,48400,19,12,6,1,38
1610,Univ. of Hawaii at Manoa,HI,I,71300.0,53200.0,45800.0,57000,88700.0,67700.0,58700.0,71900,442,285,272,100,1099
21078,Univ. of Hawaii-West Oahu,HI,IIB,51300.0,41639.555555555555,39600.0,44900,65400.0,52379.28888888889,51200.0,57600,8,4,8,0,20
29020,Univ. of Hawaii at Hilo,HI,IIB,57600.0,46100.0,41400.0,46700,73100.0,59100.0,53400.0,59800,43,47,37,14,141
1846,Briar Cliff College,IA,IIB,36700.0,32400.0,28600.0,31300,47300.0,41200.0,35900.0,39800,16,13,28,3,60
1847,Buena Vista College,IA,IIB,48400.0,41600.0,33900.0,38200,60600.0,52200.0,44000.0,48600,20,12,30,10,72
1850,Central University of Iowa,IA,IIB,46400.0,41300.0,33400.0,39500,57200.0,50700.0,40500.0,48300,23,36,22,8,89
1852,Clarke College,IA,IIB,43600.0,36100.0,31200.0,33800,51200.0,44500.0,37900.0,40700,11,10,25,8,54
1854,Coe College,IA,IIB,51600.0,42100.0,34000.0,43600,67100.0,54100.0,45900.0,57000,30,21,22,0,73
1856,Cornell College,IA,IIB,57800.0,42600.0,36800.0,46800,69300.0,53400.0,46300.0,57400,31,22,17,5,75
1859,Dordt College,IA,IIB,41100.0,35600.0,30800.0,35500,54800.0,47000.0,40600.0,47200,30,14,16,12,72
1860,Drake University,IA,IIA,60100.0,45800.0,40900.0,48100,76200.0,57800.0,49600.0,60000,101,61,107,16,285
1866,Graceland College,IA,IIB,41100.0,33100.0,30100.0,34500,49000.0,40100.0,36600.0,41800,26,11,29,1,70
1867,Grand View College,IA,IIB,38500.0,32000.0,29500.0,32900,48100.0,40500.0,37700.0,41600,22,31,20,2,75
1868,Grinnell College,IA,IIB,64200.0,51700.0,40500.0,51300,80900.0,64100.0,49600.0,63800,46,36,52,3,139
1869,Iowa State University,IA,I,68400.0,50600.0,40400.0,53400,84200.0,63500.0,51400.0,66600,467,353,284,84,1188
1873,Loras College,IA,IIB,41900.0,36300.0,31400.0,36300,53100.0,43800.0,37800.0,44500,37,35,31,6,109
1874,Luther College,IA,IIB,47800.0,39900.0,34700.0,40400,63000.0,54800.0,44500.0,53100,63,26,50,16,155
1879,Morningside College,IA,IIB,38900.0,33100.0,30300.0,34100,49500.0,41400.0,36500.0,42500,20,29,16,1,66
1880,Mount Mercy College,IA,IIB,37900.0,35600.0,33400.0,33700,46500.0,42700.0,39600.0,40500,7,20,28,8,63
1881,Mount St. Clare College,IA,IIA,52414.45562671546,41639.555555555555,35192.70008795075,30200,65348.7648673376,52379.28888888889,44211.257695690416,37300,0,0,0,0,18
1883,Northwestern College,IA,IIB,43000.0,37200.0,31100.0,34400,53100.0,47700.0,39400.0,43400,9,16,27,6,58
1887,Simpson College,IA,IIB,49100.0,37700.0,33900.0,39400,64500.0,47300.0,43400.0,50400,25,11,17,14,67
1889,St. Ambrose University,IA,IIB,43100.0,37400.0,32500.0,36200,54100.0,47100.0,40100.0,45000,29,15,44,8,98
1890,University of Northern Iowa,IA,IIA,58600.0,46900.0,39000.0,44700,73000.0,59100.0,49100.0,56100,155,152,226,89,622
1891,University of Dubuque,IA,IIB,35100.0,31500.0,30900.0,32300,44300.0,39200.0,35800.0,39600,19,23,14,2,58
